account_id,customer_id,account_type,account_open_date,branch_id,account_status,balance
A000001,C00180,Savings,2023-03-31,B006,Active,389117.41
A000002,C00455,Savings,2025-08-06,B008,Closed,77884.81
A000003,C00946,Business,2022-10-27,B009,Inactive,387991.07
A000004,C00788,Savings,2025-01-11,B009,Closed,496367.45
A000005,C00742,Savings,2024-05-02,B008,Inactive,357125.02
A000006,C00119,Savings,2020-10-11,B005,Active,343839.11
A000007,C00893,Savings,2019-12-21,B006,Inactive,444703.75
A000008,C00534,Salary,2025-06-24,B001,Closed,379488.42
A000009,C00329,Current,2024-04-13,B004,Inactive,139048.12
A000010,C00792,Business,2023-01-21,B002,Inactive,75511.04
A000011,C00118,Savings,2023-07-27,B010,Closed,257516.27
A000012,C00556,Salary,2024-04-26,B009,Inactive,136255.0
A000013,C00588,Current,2023-06-17,B003,Active,156377.4
A000014,C00554,Business,2022-11-02,B001,Active,15467.35
A000015,C00109,Business,2026-01-26,B001,Active,213806.41
A000016,C00722,Business,2024-08-17,B010,Inactive,156907.88
A000017,C00731,Savings,2024-05-31,B008,Closed,66765.84
A000018,C00100,Business,2021-05-20,B005,Closed,322564.89
A000019,C00482,Current,2021-06-01,B004,Active,430687.04
A000020,C00935,Salary,2023-09-29,B007,Active,350107.7
A000021,C00808,Salary,2022-12-06,B008,Inactive,16101.8
A000022,C00116,Salary,2021-04-22,B008,Inactive,423037.36
A000023,C00787,Salary,2023-06-21,B010,Closed,64569.61
A000024,C00416,Savings,2025-06-25,B006,Closed,325076.25
A000025,C00546,Business,2023-04-01,B007,Closed,207307.51
A000026,C00562,Current,2023-11-26,B008,Inactive,33963.91
A000027,C00834,Business,2024-04-20,B007,Closed,393876.06
A000028,C00711,Current,2020-07-12,B003,Closed,335132.99
A000029,C00857,Business,2020-03-13,B002,Closed,298441.67
A000030,C00569,Savings,2022-12-27,B008,Active,154709.83
A000031,C00072,Savings,2022-01-31,B010,Inactive,164376.71
A000032,C00093,Current,2025-12-12,B003,Closed,451724.75
A000033,C00776,Current,2026-08-20,B003,Inactive,266096.65
A000034,C00631,Business,2022-04-06,B004,Active,341076.88
A000035,C00307,Salary,2023-02-01,B007,Closed,491307.57
A000036,C00092,Savings,2022-10-10,B010,Closed,202694.51
A000037,C00873,Salary,2025-03-16,B001,Inactive,450636.77
A000038,C00001,Salary,2026-01-15,B002,Inactive,432974.14
A000039,C00443,Business,2023-12-31,B006,Closed,192012.02
A000040,C00446,Current,2022-05-11,B003,Inactive,70395.36
A000041,C00394,Salary,2020-05-28,B007,Active,144946.96
A000042,C00138,Savings,2025-03-24,B002,Closed,8838.19
A000043,C00674,Business,2021-03-06,B003,Active,69472.91
A000044,C00881,Business,2021-12-21,B010,Inactive,312000.99
A000045,C00522,Business,2021-07-16,B009,Inactive,192972.64
A000046,C00191,Business,2024-02-08,B010,Active,289391.31
A000047,C00730,Salary,2023-12-25,B007,Closed,288599.82
