transaction_id,account_id,transaction_date,transaction_type,transaction_amount,currency,transaction_status,channel
T0000001,A000010,2026-03-14 23:53:13.530779,Transfer,96249.9,INR,SUCCESS,ATM
T0000002,A000387,2024-11-30 05:42:20.530779,Interest,155256.01,INR,SUCCESS,Mobile
T0000003,A001400,2025-09-08 02:57:34.530779,Withdrawal,149969.6,INR,PENDING,Mobile
T0000004,A001040,2025-12-15 05:53:29.530779,Withdrawal,203608.93,INR,FAILED,Online
T0000005,A001101,2026-06-19 00:50:27.530779,Deposit,201820.49,INR,FAILED,ATM
T0000006,A001399,2025-01-08 12:08:16.530779,Withdrawal,147567.57,INR,SUCCESS,Online
T0000007,A001236,2026-02-11 06:27:42.530779,Withdrawal,249335.74,INR,FAILED,Branch
T0000008,A000797,2026-07-26 19:22:49.530779,Payment,236008.37,INR,PENDING,Online
T0000009,A000749,2025-09-01 08:23:37.530779,Withdrawal,59938.89,INR,FAILED,Mobile
T0000010,A000734,2025-11-07 00:56:36.530779,Deposit,229160.96,INR,FAILED,Online
T0000011,A001359,2026-03-06 02:44:26.530779,Interest,80206.21,INR,PENDING,Branch
T0000012,A000412,2026-04-02 22:50:50.530779,Transfer,80147.07,INR,FAILED,Mobile
T0000013,A000874,2025-07-16 22:14:00.530779,Payment,108841.19,INR,SUCCESS,Branch
T0000014,A000214,2024-10-14 17:18:52.530779,Transfer,140357.12,INR,PENDING,Branch
T0000015,A000589,2025-07-30 17:32:48.530779,Interest,174755.52,INR,PENDING,Online
T0000016,A000629,2025-03-31 02:40:34.530779,Fee,186988.06,INR,PENDING,Mobile
T0000017,A000099,2026-07-08 10:50:56.530779,Fee,7087.98,INR,FAILED,Branch
T0000018,A001102,2025-03-31 12:14:11.530779,Deposit,205954.16,INR,PENDING,Branch
T0000019,A000366,2026-02-22 18:30:24.530779,Fee,92768.9,INR,PENDING,Online
T0000020,A000937,2025-04-27 03:01:15.530779,Withdrawal,223099.78,INR,PENDING,ATM
T0000021,A001015,2024-12-03 06:50:32.530779,Withdrawal,142829.22,INR,PENDING,Online
T0000022,A000422,2024-11-05 13:19:07.530779,Interest,29171.12,INR,FAILED,Online
T0000023,A000363,2025-05-24 11:28:17.530779,Payment,206660.4,INR,FAILED,Branch
T0000024,A000291,2024-11-04 05:06:22.530779,Fee,61618.67,INR,PENDING,ATM
T0000025,A001455,2025-11-26 20:12:06.530779,Interest,77503.84,INR,PENDING,ATM
T0000026,A000852,2025-11-12 23:48:05.530779,Payment,94345.23,INR,SUCCESS,Branch
T0000027,A000022,2025-06-06 21:16:45.530779,Interest,173161.53,INR,SUCCESS,Branch
T0000028,A000145,2025-01-29 07:32:50.530779,Interest,28683.66,INR,SUCCESS,Branch
T0000029,A001100,2024-11-27 06:06:18.530779,Transfer,41924.95,INR,PENDING,ATM
T0000030,A000584,2026-08-18 13:55:38.530779,Fee,71681.1,INR,PENDING,ATM
T0000031,A000809,2025-01-09 03:46:35.530779,Withdrawal,237557.25,INR,PENDING,Branch
T0000032,A001062,2025-04-13 04:03:26.530779,Deposit,117292.35,INR,SUCCESS,Online
T0000033,A000795,2025-05-12 00:48:49.530779,Withdrawal,20993.65,INR,PENDING,Online
T0000034,A001261,2025-05-25 15:18:05.530779,Transfer,109583.33,INR,SUCCESS,Branch
T0000035,A001358,2026-05-24 00:55:25.530779,Fee,191720.87,INR,SUCCESS,Mobile
T0000036,A001165,2025-08-11 01:01:20.530779,Deposit,237152.49,INR,FAILED,ATM
T0000037,A000947,2025-03-18 12:10:35.530779,Withdrawal,225400.55,INR,SUCCESS,Branch
T0000038,A000598,2025-10-14 05:00:11.530779,Fee,16005.98,INR,SUCCESS,Mobile
T0000039,A001477,2025-08-29 23:23:11.530779,Payment,6424.89,INR,FAILED,Online
T0000040,A001083,2025-05-29 21:20:05.530779,Transfer,139257.6,INR,SUCCESS,ATM
T0000041,A001403,2024-11-17 03:29:01.530779,Deposit,102540.05,INR,PENDING,Online
T0000042,A001483,2026-06-15 05:36:56.530779,Transfer,92656.0,INR,SUCCESS,Online
T0000043,A000013,2026-08-21 07:56:11.530779,Payment,954.9,INR,SUCCESS,Branch
T0000044,A000460,2026-04-23 03:47:06.530779,Interest,8895.29,INR,PENDING,Online
T0000045,A000976,2024-10-10 23:03:12.530779,Fee,161233.06,INR,FAILED,Branch
T0000046,A001399,2025-12-24 08:04:56.530779,Payment,153190.86,INR,FAILED,Branch
T0000047,A000931,2026-01-23 05:00:17.530779,Fee,219873.13,INR,SUCCESS,Mobile
T0000048,A001498,2025-07-10 22:37:30.530779,Withdrawal,240763.62,INR,FAILED,ATM
T0000049,A000043,2025-03-03 12:49:49.530779,Payment,201382.07,INR,SUCCESS,Online
T0000050,A001456,2026-01-03 14:22:13.530779,Fee,212935.74,INR,FAILED,Mobile
T0000051,A000427,2026-06-23 12:16:45.530779,Payment,105343.05,INR,FAILED,Branch
T0000052,A000796,2025-12-27 15:35:26.530779,Payment,90953.71,INR,FAILED,Branch
T0000053,A000422,2025-02-03 18:43:24.530779,Withdrawal,54318.13,INR,SUCCESS,Mobile
T0000054,A000745,2026-07-27 21:57:42.530779,Payment,137096.56,INR,FAILED,ATM
T0000055,A000438,2026-07-11 10:36:10.530779,Payment,35418.74,INR,SUCCESS,Branch
T0000056,A000845,2025-07-24 22:08:00.530779,Deposit,49932.5,INR,FAILED,Mobile
T0000057,A001060,2026-07-27 13:25:14.530779,Payment,45160.78,INR,FAILED,Online
T0000058,A000791,2026-08-31 06:56:45.530779,Fee,166781.68,INR,FAILED,Mobile
T0000059,A001178,2026-07-08 14:03:39.530779,Withdrawal,37755.75,INR,FAILED,Branch
T0000060,A000997,2025-05-29 04:10:57.530779,Transfer,152628.48,INR,PENDING,Online
T0000061,A000134,2026-08-13 02:57:47.530779,Deposit,5464.37,INR,SUCCESS,ATM
T0000062,A000731,2024-12-21 10:50:09.530779,Withdrawal,185921.72,INR,SUCCESS,ATM
T0000063,A001277,2024-11-26 12:38:36.530779,Transfer,145903.79,INR,FAILED,Branch
T0000064,A000594,2025-09-01 05:48:31.530779,Transfer,25464.72,INR,PENDING,Mobile
T0000065,A000851,2025-02-22 05:22:23.530779,Deposit,133123.06,INR,PENDING,Branch
T0000066,A001132,2025-03-01 19:52:43.530779,Interest,117444.96,INR,FAILED,Mobile
T0000067,A000912,2025-01-14 04:46:06.530779,Deposit,188942.81,INR,SUCCESS,Branch
T0000068,A000977,2026-01-17 13:14:29.530779,Withdrawal,191807.81,INR,PENDING,ATM
T0000069,A001172,2025-12-15 20:43:27.530779,Withdrawal,111888.62,INR,SUCCESS,Branch
T0000070,A000705,2026-08-08 20:03:54.530779,Transfer,246955.04,INR,FAILED,Online
T0000071,A001279,2025-03-20 04:20:32.530779,Transfer,169375.55,INR,SUCCESS,Online
T0000072,A001299,2026-08-05 06:36:23.530779,Transfer,73158.13,INR,SUCCESS,ATM
T0000073,A000033,2026-05-30 17:26:32.530779,Fee,222772.82,INR,FAILED,Mobile
T0000074,A000394,2025-09-28 08:37:48.530779,Fee,70133.44,INR,PENDING,Online
T0000075,A000342,2026-02-03 11:01:40.530779,Deposit,162386.34,INR,PENDING,ATM
T0000076,A000887,2025-06-16 15:46:27.530779,Transfer,10209.89,INR,PENDING,Branch
T0000077,A000682,2026-07-27 02:21:02.530779,Fee,7940.31,INR,PENDING,Online
